"ensembl","LFC_DNAdamage","LFC_Oncogene","LFC_Replicative","F_test","p_DNAdamage","p_Oncogene","p_Replicative","adj_p_DNAdamage","adj_p_Oncogene","adj_p_Replicative"
"ENSG00000000003",0.366969250319158,0.314026973459025,0.0341835685889184,0.00298842702651897,0.00104348166769556,0.00331643819954494,0.762470957431392,0.00369792980055784,0.00960018453709736,0.822480088476282
"ENSG00000000419",-0.0843479041573816,-0.548604490377816,0.798561397944308,8.58359309232106e-12,0.585086074863452,0.000859576783704127,2.42465272668452e-05,0.672912215355508,0.00314827067523674,0.000176980643630154
"ENSG00000000457",-0.159978700586104,0.0285438705126713,-0.140089697743341,0.0224766133222688,0.0167219965527162,0.666138093504207,0.0708267148253996,0.0366559184731632,0.743526379036816,0.122570387476871
"ENSG00000000460",-1.22373774308972,-0.908050345379731,-0.52126946792426,3.14548710174058e-11,1.78640227998935e-12,1.90518152734591e-09,0.000219300924036014,4.11918845732973e-10,8.87063510564143e-08,0.00103400278915247
"ENSG00000000971",0.5246539698355,-2.35091189541808,1.39716987965998,7.22886281912033e-19,0.236454384359383,6.23415545865986e-06,0.00296767540871223,0.328772274762559,6.05205512780044e-05,0.00876295788255821
"ENSG00000001036",-0.244910196830704,-0.30046532363605,0.641074166618028,4.15500079292322e-11,0.0675233998721845,0.0256715736805105,4.24516991689893e-05,0.117690792311957,0.0523937710668196,0.000276816405717744
"ENSG00000001084",0.0353525728199115,-0.568557350472731,0.69889820248953,3.43517303370533e-13,0.848064797804621,0.00400964428775966,0.000650475745133357,0.88894799775074,0.0112406070367734,0.0025050093054392
"ENSG00000001167",0.103080902197796,0.63468633624864,-0.655903440414828,3.5882965476591e-12,0.390800249306392,5.60021239070705e-06,2.92884025181935e-05,0.491547804897776,5.58326301410763e-05,0.000205481355424295
"ENSG00000001460",-0.212864423816586,-0.878944233081755,1.00984891811,6.36503788214885e-17,0.292466265719025,0.000103631699248377,1.95474998239195e-05,0.390097344229626,0.000566383495790535,0.000148707594870961
"ENSG00000001461",0.0401458253001682,-1.45277511190108,1.50320495162107,6.73572719679177e-27,0.875902449455782,2.0016637188189e-06,1.69722938411331e-06,0.9098945447719,2.4298461332757e-05,2.1296952181114e-05
"ENSG00000001497",-0.34195202717833,-0.130722740609953,-0.163681796250486,0.00013783605347369,2.2282371646647e-05,0.0697814457283501,0.0750646162079109,0.000165284816520464,0.121051334330583,0.128612763096584
"ENSG00000001617",1.21710316693743,0.544063217610569,-1.18342678213167,1.24762913378774e-14,0.000143865056004426,0.0622272238192856,0.000369642992144234,0.000737885563701123,0.109975869885809,0.0015768850857722
"ENSG00000001629",0.0286069844348929,0.0477379660899956,0.145616266248288,0.578438220265742,0.750389456384019,0.595423015720106,0.169587467967005,0.812761058592241,0.682321296152373,0.251267900992037
"ENSG00000001630",-0.200160636662794,-0.286466887864457,0.0440670921458895,0.00475679831259952,0.0617872731673601,0.00792344205015127,0.705395971060457,0.109334007987688,0.01967270852661,0.776445469782244
"ENSG00000001631",-0.0427482889203648,-0.313625719158465,0.11120365500041,0.000132938554175564,0.515649499111401,5.12123435326004e-05,0.18569810810445,0.611183622055891,0.000321516311536252,0.270137275475163
"ENSG00000002016",0.245480433113998,-0.162266343046086,-0.0257668592336206,0.00401470690347408,0.0158305491411379,0.106364950430885,0.811277798055237,0.0349923198053068,0.17163217683744,0.86114348879258
"ENSG00000002330",0.771600432721511,0.351781495384316,-0.546542751230084,7.53065029411753e-07,0.00049234076163264,0.0859033027492095,0.0237339615622966,0.00199317749810474,0.143899250320856,0.0490658592294363
"ENSG00000002549",0.274186990153603,0.313335627344652,0.283870629528416,0.170250070488149,0.0573820586653766,0.0301408092661889,0.0630935488062992,0.10276309873714,0.0599387436179328,0.111202552007259
"ENSG00000002586",-0.214785865400109,-0.494864702300491,0.0508561758619174,0.000596045751958197,0.0601085653083505,0.000153550740544908,0.699771772101521,0.106835892597499,0.000776217508028615,0.771939322955895
"ENSG00000002746",0.448425481325397,-0.0537188736575165,0.142305479208552,0.103784274964319,0.145868535143372,0.855555356314885,0.635094537985776,0.222273021500644,0.894418208917198,0.71643036784717
"ENSG00000002822",-0.415826149800448,0.120495801126411,-0.258471317127752,8.03459842909455e-08,5.76321449314613e-06,0.115957694933515,0.01460134105027,5.70349755572481e-05,0.184280258016593,0.0327333674850567
"ENSG00000002834",-0.424769672703931,-0.708585917321704,-0.0598719019884315,1.6151693743398e-08,0.000407374092228364,1.93829804180551e-07,0.614621775822707,0.00170672051115886,3.73937076009355e-06,0.69894624951652
"ENSG00000002919",0.0646165337856819,-0.109245171624723,0.157086300085297,0.045396182954295,0.495147460483332,0.250341557627068,0.149981204414424,0.592138537286927,0.344207202140255,0.22725263975717
"ENSG00000003056",0.0171799855467637,0.468394968660532,-0.143784703721985,3.57357597461811e-13,0.790232417371891,2.90487927649375e-08,0.0507343921254446,0.844338891835141,8.05629835083946e-07,0.0927118392588811
"ENSG00000003096",-0.770134032247926,-2.60548096451772,-0.0875339269343264,1.13073336780437e-13,0.0138574145432623,6.54705579715098e-10,0.761196272509669,0.03133107271926,3.80585933812055e-08,0.821462658057201
"ENSG00000003249",0.426795198369157,0.442916475754709,0.603764322345495,0.0926310789271877,0.0629928592521764,0.055598262937369,0.0131862148743067,0.111069556259991,0.100101680097275,0.0300888781329132
"ENSG00000003393",-0.160471372133028,-0.144870961854072,0.260877027476723,0.000444865802616966,0.0319455323922991,0.0518298331795059,0.00456438187493554,0.0629228171482446,0.0944014147314832,0.0124821293008417
"ENSG00000003402",0.681691613742946,0.541408348863152,0.413000859859012,1.42007973676839e-05,8.71403315650461e-07,3.24897187490198e-05,0.00206450048004917,1.25845400398873e-05,0.000223759017349422,0.00649151342502732
"ENSG00000003436",0.241466393614262,-0.619881221780709,0.896231807682865,1.15363638695383e-14,0.197123618847821,0.00173546363159291,2.87385177882997e-05,0.283462522880205,0.00562718330203718,0.00020279878269642
"ENSG00000003509",0.176563327067749,0.568408534034875,-0.112488761296098,8.98538297561447e-09,0.0178559309187967,6.25513796789453e-09,0.191182094199586,0.0387278394195509,2.31746400779921e-07,0.276486340998808
"ENSG00000003756",0.0505854946668221,-0.00635484634809166,-0.0531472509911749,0.645763650691631,0.468160387016432,0.925751421723474,0.534122094041305,0.566785769445125,0.946210340554623,0.627731521765014
"ENSG00000003987",0.181536027935892,-0.124037472952518,0.674375885399138,5.49783987169828e-05,0.165627504552801,0.348109809776036,5.55191988428001e-05,0.246516894724297,0.448908690247269,0.000343215392003691
"ENSG00000003989",-0.906213725365851,-1.39485988673974,0.133244875898137,8.76542414714802e-12,0.000483913539625192,1.07775195371797e-06,0.581401442101227,0.00196499331901641,1.48261314928651e-05,0.669533211987627
"ENSG00000004059",-0.107874888680114,-0.15307292748939,-0.372612172334,0.0149589825053253,0.230239173656957,0.0841960939687928,0.00194527588496566,0.321858930858016,0.141543794551134,0.00618571671773653
"ENSG00000004139",0.052973601128551,0.24960975499523,-0.105552879281156,0.0146589700232943,0.558657763383548,0.0103998049629301,0.350951602088755,0.64945825934078,0.0246507296353206,0.451731244761929
"ENSG00000004142",-0.209864764819946,-0.121819697145473,0.116254772959244,0.00626055924202432,0.0072178969067078,0.100377569322258,0.191595971259673,0.0182189440113382,0.163551365769094,0.276969630602954
"ENSG00000004399",-0.088080102472014,0.155132415667196,-0.405176744018671,0.00118233453472707,0.597029543015982,0.360199463636462,0.0328588161729561,0.683741581795158,0.461121972972066,0.0643970558338617
"ENSG00000004455",-0.382954708705945,-0.426870154794062,0.37796538890409,1.28762163994061e-09,0.00161270735692559,0.000453329141174505,0.00337368171701344,0.0052968953635222,0.00186298540296131,0.00974143051776636
"ENSG00000004478",-0.116439461697827,0.31424909022764,-0.107998811546803,4.55615369168558e-08,0.225512455642332,0.00208580319633775,0.325443086787058,0.316484744944605,0.00654701809660095,0.425399665042238
"ENSG00000004487",-0.441290354611697,-0.0490966995044859,-0.417952450225185,2.53359652593718e-10,8.48927273213652e-08,0.464223005584909,2.91894987361277e-06,1.90049030748149e-06,0.562820996480672,3.30720511142871e-05
"ENSG00000004534",-0.0993110576377659,-0.109792801024232,0.0308906648262236,0.243959933719844,0.138504518093244,0.0958708421809643,0.698240485038185,0.213076765778027,0.157458664007355,0.770689043035355
"ENSG00000004660",-0.404671230975432,-0.0767532447905524,-0.0805739561414444,0.0132241485116033,0.00574804460045106,0.602433506849859,0.609742673788806,0.0151171824727157,0.688383738872283,0.694915493618795
"ENSG00000004700",-0.00942703715446455,-0.127862918150453,0.327180478326269,0.00673748060316595,0.928311641012362,0.229478767852387,0.0146369587861558,0.947946743836811,0.320968866660543,0.032796513595022
"ENSG00000004766",-0.527948875492806,-0.561196496309543,0.533169763520858,2.88487556427457e-08,0.00105496957646991,0.00065635083050282,0.00228577619602254,0.00373154067212581,0.00252321977337552,0.00705713725707724
"ENSG00000004776",-0.190790747525612,-1.46414997874665,0.0774965174433934,2.89873351579385e-09,0.569249744836001,0.00018187765814555,0.841867962690087,0.65881406295874,0.000889602206099189,0.884213351495361
"ENSG00000004777",-1.37526036858147,-1.5197534367055,-0.225367547576664,2.91112350564802e-08,2.57127873191195e-08,1.38771665141369e-08,0.332584985290403,7.28122982662995e-07,4.41507249746421e-07,0.432807383572082
"ENSG00000004779",-0.0332553884451451,0.0626033433909536,0.21268512454124,0.116691344667337,0.737519087287937,0.527983653062719,0.0596077322541571,0.802356476381572,0.622366468093663,0.106113202416935
"ENSG00000004864",-0.510082473183292,0.229003969008934,-0.584498914731648,3.1720070479136e-12,5.33443988079725e-05,0.0449913989104462,5.56575248454117e-05,0.000332273710249351,0.0839544704986719,0.000343782336325907
"ENSG00000004866",0.0734325106603582,0.0348569567210146,-0.0121131060412075,0.808306296965224,0.347941518354075,0.645212694302125,0.9015576799982,0.448751422113714,0.725403628887666,0.928656190992403
"ENSG00000004897",-0.339305808082505,-0.0627661855861542,0.0836725004639249,4.10042284165559e-05,0.000161280585843844,0.440141866912537,0.388719617917171,0.000807620455875539,0.53989628914236,0.489391348822297
"ENSG00000004961",0.365715625690099,0.232761027714851,0.296804457520142,0.000240551672358787,5.60510547211135e-05,0.00517446267446152,0.00431966092911798,0.00034557680452769,0.0138528752152209,0.0119484264848263
"ENSG00000004975",-0.206168515074896,0.552741369390323,-0.633309133263243,7.74002967188268e-12,0.170776482994018,0.000656579260302244,0.000590701540162942,0.252642968227403,0.00252389755668933,0.00231382791452113
"ENSG00000005007",0.534703849759902,0.635959302771642,-0.929776580339719,2.46927326136334e-09,0.00582710134389115,0.001293809579483,7.29991799635096e-05,0.0152744940386099,0.00441664725183683,0.000426706819335227
"ENSG00000005020",0.17695122440934,-0.0840761005307949,0.205968478784499,0.00736056091560941,0.0517972362981695,0.326280674991083,0.0530400052584084,0.0943532264515718,0.426137909296936,0.0961859102175085
"ENSG00000005022",-0.758159857162943,-0.247878214688533,-0.125327594671826,4.00563540221565e-09,8.79264987987041e-08,0.0318809148763519,0.307149867795823,1.94948024328281e-06,0.0628186995343882,0.405781738146322
"ENSG00000005059",-1.45753101708886,-1.67614029168896,-0.701126649653772,2.80482964994531e-12,2.64728205368872e-11,9.03893142027066e-13,8.28700541288177e-05,3.03671742954231e-09,2.66885473270589e-10,0.00047148591600044
